k,temp
64,"[0101000020A41E0000530B2F4177A764C070CD9BDB65F34C40@2001-04-24 03:49:00+02, 0102000020A41E000002000000405B7936E81945403EAE759E5A0A5040BE96B29B3B1F4440A33C487D588E5140@2001-04-24 03:51:00+02, 0104000020A41E00000200000001010000001040E2807C0D2340A08A17A0F9EE24400101000000B5370CD61CC324406E33B0210C262440@2001-04-24 04:00:00+02, 0101000020A41E000040A0E730ADAB5FC07893EDD19F8851C0@2001-04-24 04:02:00+02, 0102000020A41E000002000000C056BBFF8DD363C02025033D956A26400884C489EC4564C05C90B5BDA5A30040@2001-04-24 04:07:00+02, 0104000020A41E00000200000001010000007A1F64B50FD961C072BC1E4C218F48C001010000007DE1206EC49161C06C0C87C0135544C0@2001-04-24 04:15:00+02, 0101000020A41E00005050D566B464274012CACB53B9A55340@2001-04-24 04:25:00+02, 0102000020A41E0000020000007A79AEF294F75EC0BDD6BC85335B45C0DAA74FC2CFB660C08D6B754354F947C0@2001-04-24 04:34:00+02, 0104000020A41E0000020000000101000000332F1CA49E8854C0E24EAE68A70850C001010000009CF9C2C20BE654C017070FE7BCE44EC0@2001-04-24 04:36:00+02, 0101000020A41E0000FCFEEEE05AD45FC0389D958D04204C40@2001-04-24 04:45:00+02]"
65,"(0101000020A41E00008C79FA71220863409C19D5AF233F50C0@2001-10-26 17:41:00+02, 0101000020A41E00008C79FA71220863409C19D5AF233F50C0@2001-10-26 17:50:00+02)"
66,"(0101000020A41E0000905FA7702C3E3940E9910C0073E74FC0@2001-11-20 09:59:00+01, 0102000020A41E00000200000024F7D051EC7B65C085972F2425DB52C0E00A8A47557B66C006F3E2C6C6D853C0@2001-11-20 10:03:00+01, 0104000020A41E0000020000000101000000605D9F8E6C655EC0D4D321271B1930C00101000000CFA8A3C42E7A5DC074DB3FB8714C1FC0@2001-11-20 10:11:00+01, 0104000020A41E0000020000000101000000605D9F8E6C655EC0D4D321271B1930C00101000000CFA8A3C42E7A5DC074DB3FB8714C1FC0@2001-11-20 10:16:00+01)"
67,"[0101000020A41E00003C2460DB469351C0AC1710A5345A3E40@2001-08-05 14:49:00+02, 0102000020A41E000002000000867235D2A79650C0A87AE740986C4940AB15CBF8466852C069DA69EC0C634540@2001-08-05 14:50:00+02, 0104000020A41E00000200000001010000003062D447118140C006E6A798639B40C00101000000DCEC85AA97E444C0D17B11D7C38A41C0@2001-08-05 14:55:00+02, 0101000020A41E00003ACB402A32AC6440521528D0F6295140@2001-08-05 15:05:00+02, 0102000020A41E00000200000004F330053BA8554002FA472ADCAB3FC0448CEE6C1F085440DA90F8EE557540C0@2001-08-05 15:10:00+02, 0104000020A41E000002000000010100000010E4E0C509525FC0E4362164D78C3E40010100000023475FDC7AB15EC04DD5477A58814140@2001-08-05 15:14:00+02, 0101000020A41E0000732497142A3260C0101063F6C0FB19C0@2001-08-05 15:23:00+02, 0101000020A41E0000732497142A3260C0101063F6C0FB19C0@2001-08-05 15:24:00+02)"
68,"[0101000020A41E00004EB8BFEBAE9764C0A064B2988BBB5240@2001-05-13 02:16:00+02, 0102000020A41E0000020000000AF7ED2E64A260400C6D5FB45DBC35C0B2B3F3F6AE966040EDD43482CBF23BC0@2001-05-13 02:24:00+02, 0104000020A41E000002000000010100000080E2EFB5B2191DC0D870530751B243C0010100000060F2D55AB5BEFBBFA581488BDFFA45C0@2001-05-13 02:27:00+02, 0101000020A41E00009F76730EC94260C0603A49C607134440@2001-05-13 02:30:00+02, 0102000020A41E000002000000026F799AD4135140F00741267CEF40C06CFE15C77B5053406F2FE6848B7942C0@2001-05-13 02:39:00+02, 0102000020A41E000002000000026F799AD4135140F00741267CEF40C06CFE15C77B5053406F2FE6848B7942C0@2001-05-13 02:42:00+02)"
69,"[0101000020A41E0000DCD6C097FF86614095617D3AA6EB45C0@2001-01-11 21:58:00+01, 0102000020A41E0000020000000CF87638A9B945C000418C632D6E0240F0AD01031B6C42C0922B5DD5529C1240@2001-01-11 22:02:00+01, 0104000020A41E000002000000010100000050CDCF7C6B1235C0C45AD42A46903140010100000020F4AFA181CD27C0C215C8E2C2E82E40@2001-01-11 22:06:00+01, 0101000020A41E000028DE868B62BD5740EE9E176AB5905440@2001-01-11 22:16:00+01, 0102000020A41E000002000000D44D3C1D3FFE61408817E1A3DBF55040B172C1C0862C6240C309686848D75040@2001-01-11 22:26:00+01]"
70,"(0101000020A41E0000D8C89E8FD7AB6240A0FEBE1D4BE82840@2001-03-26 01:27:00+02, 0102000020A41E000002000000A85436C09A09414038E1ED8BE7922040F41E75EA94874540B04838D63E0C2A40@2001-03-26 01:34:00+02, 0104000020A41E000002000000010100000050369739B7AD2A4032A5F9C8A21E40C00101000000B9EACDF8565B2940193138C4F49B42C0@2001-03-26 01:39:00+02, 0101000020A41E00009B6C8AE7B1CA64C0B8F65E415A862740@2001-03-26 01:43:00+02, 0102000020A41E00000200000050F2EAD3ACBA38C090CB312232842040D0D9EE669ADC2DC0C02E33D9C213F7BF@2001-03-26 01:48:00+02]"
71,"(0101000020A41E00002C5CAD33B38265C08C0D5950806B5240@2001-11-16 04:19:00+01, 0102000020A41E00000200000052EEFD09CC8455C0127EA660C56652402952BBB6B6F756C07162BCC9601C5240@2001-11-16 04:27:00+01, 0104000020A41E0000020000000101000000D26A0937C1C159C02010704A224A49400101000000717EB0F3ED5F59C0EEDBAAC2433C4540@2001-11-16 04:28:00+01, 0101000020A41E0000EC3864711C4D5FC080FE70499D2706C0@2001-11-16 04:34:00+01, 0102000020A41E000002000000185F18AB444040C0C8C045A79A4C5640B289CC453B0944C0BFFE13266F4D5440@2001-11-16 04:35:00+01, 0104000020A41E0000020000000101000000408B4ED8C2E603408B3A2A0BD3E446C00101000000763DE27A0FED0AC0E8745268350E43C0@2001-11-16 04:39:00+01, 0101000020A41E00007A3E12C5C1664AC0DE338E09107651C0@2001-11-16 04:48:00+01, 0102000020A41E000002000000F0CE32C6C36A4940EAFECD269A8E5140D445BC76102D4740028143DB53B85040@2001-11-16 04:53:00+01, 0104000020A41E0000020000000101000000EE4D8DC5685C6140E02176E978B500C001010000005A89CCAC00CB6040E0A2FA11E88CFDBF@2001-11-16 04:59:00+01, 0104000020A41E0000020000000101000000EE4D8DC5685C6140E02176E978B500C001010000005A89CCAC00CB6040E0A2FA11E88CFDBF@2001-11-16 05:06:00+01)"
72,"[0101000020A41E0000E61883AB669A624086E7D70C071345C0@2001-12-22 13:27:00+01, 0102000020A41E0000020000009C969DB5BB0B4CC0CA42DCBC338E52402ADA0BDAD5C24DC04AA9CCB048BB5140@2001-12-22 13:31:00+01, 0104000020A41E000002000000010100000054D5DD5BA61748404894FFDA2EBC4440010100000075F905358C7F4340173D5659A14F4840@2001-12-22 13:37:00+01, 0101000020A41E000034DC3A27233241C06468A5D552CE4D40@2001-12-22 13:46:00+01, 0102000020A41E000002000000A055D80478D526C07510C639DA4655C004F1E6B5409924C029046FFFFCE153C0@2001-12-22 13:55:00+01, 0104000020A41E000002000000010100000080367B5ED5781940F0992566EC703F40010100000082211E3BDC1C20406212CE1427764040@2001-12-22 13:58:00+01, 0101000020A41E0000849821E2A50666C04E3EF6CE5DDE5140@2001-12-22 14:01:00+01, 0102000020A41E000002000000DF89350931A965C028E4AE368BCA4140552C09FC48E464C0852CD17AC16E4140@2001-12-22 14:08:00+01, 0104000020A41E0000020000000101000000289082707B543BC03C87A8EE23D14C40010100000024D0100F172D34C0AEB850E83E074940@2001-12-22 14:09:00+01]"
73,"(0101000020A41E0000D5D57E046A0F65C0EE85E050EEAF50C0@2001-11-11 16:49:00+01, 0102000020A41E0000020000002F842BF62CBB5BC054B6B4E4C7CC4F40E00775FAF1AE5CC0450006E826F84B40@2001-11-11 16:53:00+01, 0104000020A41E000002000000010100000098348CB1ED2330C0183FC5C9661A29C00101000000D05B08AAADC318C040561CA82FFD15C0@2001-11-11 16:59:00+01, 0101000020A41E00003045C5E963FE3BC02ECAFF19D09650C0@2001-11-11 17:00:00+01, 0102000020A41E000002000000A0FF9DA7D89A3E40B0A9D28E6C271640A9BEA6E0B725354018A9B3D0DADE0640@2001-11-11 17:01:00+01, 0104000020A41E0000020000000101000000382F532E89AE5740B859921BA68554400101000000AEB1B7AE8F0B5940098CD32E9B845440@2001-11-11 17:09:00+01, 0101000020A41E0000D48BF13529B45E4078197234C06652C0@2001-11-11 17:11:00+01, 0102000020A41E000002000000D277FBD25B6B62C0001E60981A5AF13F521A806CDA6B61C084D4D912B05A1FC0@2001-11-11 17:19:00+01]"
74,"(0101000020A41E00002A300D0E4FD754C06C80566D2FCC38C0@2001-10-28 01:04:00+02, 0102000020A41E000002000000DC3B42ABAAA04640A06D68F1ADA2374002DCD49CDD8C4740EE0F829B5DF13140@2001-10-28 01:08:00+02, 0104000020A41E000002000000010100000001013AF5CC2B52C0443FA064059C54400101000000DA28B6AF2A2850C0CA56C821DF665640@2001-10-28 01:09:00+02, 0101000020A41E00009C0ABE3B455A55406898D03541262840@2001-10-28 01:19:00+02]"
75,"[0101000020A41E0000A8FBAFD604EB5AC0BC844DD8038B4A40@2001-07-13 12:09:00+02, 0102000020A41E000002000000D8D02D5858655440909795F6DF284540BEA6AB03E78654404189168FA97E4840@2001-07-13 12:13:00+02, 0104000020A41E00000200000001010000007C20B7A7947863C0142100EC55A047C0010100000074FAFE74172863C0BCBB6569E30C48C0@2001-07-13 12:18:00+02, 0101000020A41E0000ECFB093025945BC0C5022EA76B6543C0@2001-07-13 12:25:00+02, 0102000020A41E000002000000D373EAC923CB61C03E641A18BD1744C02179FE47AC2261C00A84E340ED7045C0@2001-07-13 12:31:00+02, 0104000020A41E00000200000001010000006C0EA4D62D6361C01CB6CFC399CF4FC00101000000AAAA9DDBD9A661C04010090CC5C64BC0@2001-07-13 12:37:00+02, 0101000020A41E0000F8F45D3CDB105940205A0CAA5D0A1CC0@2001-07-13 12:43:00+02, 0101000020A41E0000F8F45D3CDB105940205A0CAA5D0A1CC0@2001-07-13 12:45:00+02)"
76,"{[0101000020A41E0000D75667BA0A7263C0F861E4CC1C704540@2001-02-10 13:33:00+01, 0102000020A41E000002000000027A071ADFFF60C077E71679DDB540C09387D7FFE33362C090C09A79DCD042C0@2001-02-10 13:41:00+01], [0101000020A41E0000DBBF846C80D55FC0FCF41C2604043AC0@2001-02-10 13:48:00+01], (0101000020A41E0000664551D8218C55C07D63E8B8BD5653C0@2001-02-10 13:53:00+01, 0101000020A41E0000664551D8218C55C07D63E8B8BD5653C0@2001-02-10 13:59:00+01), (0101000020A41E0000303834FF6E8362C0EF06B812E66551C0@2001-02-10 14:07:00+01, 0102000020A41E0000020000007C206FA5FA5B4740E63D04C3503154C0E55657D4277E47404045FEF4740F54C0@2001-02-10 14:16:00+01, 0104000020A41E0000020000000101000000A0976BEC24553A403871E9BD6F5C4D40010100000014690D82F92D3B40F43DFBCF1B5D4A40@2001-02-10 14:19:00+01, 0101000020A41E0000606D56A2C18633C0D4633DE9308837C0@2001-02-10 14:28:00+01, 0102000020A41E000002000000FD3D2CF5695656C057E4C013905050C0EAB7FE81C54357C09A3B5CA75D2052C0@2001-02-10 14:37:00+01, 0102000020A41E000002000000FD3D2CF5695656C057E4C013905050C0EAB7FE81C54357C09A3B5CA75D2052C0@2001-02-10 14:44:00+01), (0101000020A41E00006431354C0D55544066D14CAC54AE4EC0@2001-02-10 14:54:00+01, 0102000020A41E0000020000004079B79E137D63C03460162F556139C0E757A70E004963C0FDBE16C5AA6239C0@2001-02-10 15:04:00+01, 0104000020A41E0000020000000101000000B7AACDCC62505AC019D09600857D47C0010100000052663167125C5BC08F0248735AE145C0@2001-02-10 15:12:00+01, 0101000020A41E000090D80CE809305F4068876A9BD9A639C0@2001-02-10 15:19:00+01, 0102000020A41E00000200000089B72C1B9B4960C0FD12F60055E653C0B7905610A30C5FC0A27B26EA2A2756C0@2001-02-10 15:28:00+01, 0104000020A41E0000020000000101000000E4E1640411366340C4210AC00F624F400101000000E9AF2F12118C634069414A6DB4A75140@2001-02-10 15:30:00+01, 0101000020A41E000081F0DB7012AA5BC07075D3B342E91940@2001-02-10 15:39:00+01, 0102000020A41E000002000000E4488BE157205540F0EFCA64BCE73940791638F808935640C65975C53B0E4140@2001-02-10 15:43:00+01, 0104000020A41E0000020000000101000000267E74004B9E52408003F01BA77800C001010000004A27AE02DCB45440F06188F21F2EFABF@2001-02-10 15:44:00+01], (0101000020A41E0000FCA02928CD4D42C0C4B1948829343A40@2001-02-10 15:49:00+01, 0102000020A41E0000020000003270ADE6281E644082E4A5FCC8A03CC0165EF3B38CC8634062CA741BE0CB3EC0@2001-02-10 15:58:00+01, 0104000020A41E00000200000001010000000050B383F99AF53F5013AC6880F92840010100000038B308AE30331E404206FC0C9AA82E40@2001-02-10 16:08:00+01, 0104000020A41E00000200000001010000000050B383F99AF53F5013AC6880F92840010100000038B308AE30331E404206FC0C9AA82E40@2001-02-10 16:16:00+01), (0101000020A41E0000A43DB5614BB7414045F0226D0D1449C0@2001-02-10 16:20:00+01, 0102000020A41E0000020000007C097495587C59409B7CEAED15BC40C0FBCDBE93652357407726A628C45343C0@2001-02-10 16:30:00+01], (0101000020A41E000012F0DEDF0F0053C0D0B1214250C74D40@2001-02-10 16:36:00+01, 0102000020A41E000002000000304B3160420238C0C058FA7096811EC095D2DC4ED39E40C0BB831B504AEE25C0@2001-02-10 16:41:00+01, 0104000020A41E0000020000000101000000904A881C7F3B404072878734A85D4DC001010000008E455A657E814140511CD5ABDE8850C0@2001-02-10 16:50:00+01, 0101000020A41E0000A04408BA474256C0D8FFCD09D03D23C0@2001-02-10 16:54:00+01, 0102000020A41E000002000000E0DA35658D5452402045B0E2F0994540D1DB69019BDA5140C1FF91579A0B4240@2001-02-10 17:01:00+01, 0104000020A41E0000020000000101000000E279F84E905659C0A917172058984BC001010000002EB2CE4D8A3958C0259C8BF9E53850C0@2001-02-10 17:08:00+01, 0101000020A41E0000E06FB792BC9C5D40C4E9C6D7405A3040@2001-02-10 17:17:00+01, 0102000020A41E0000020000000014BD481FCD05C020F663137CE14840F0A9ADFB26D8F4BFD569AEFDFED74640@2001-02-10 17:25:00+01, 0104000020A41E00000200000001010000008C5059B8B11253400367B15FE19955C00101000000D21B1C38B1BC5040367EEEB7B84C55C0@2001-02-10 17:29:00+01], [0101000020A41E0000A0E88B14479C2540704594B0F2E83640@2001-02-10 17:31:00+01, 0102000020A41E000002000000647332EBA2AE404034B68EFA1A9A4DC04867C0A8F2ED3C400C13D5CE05164DC0@2001-02-10 17:40:00+01, 0104000020A41E0000020000000101000000BC8D8E4F9BA74840A800DA00F8B63E4001010000005801263EBB8C4740F41097BD04403740@2001-02-10 17:47:00+01, 0101000020A41E000038AD786708EF42C064972830AC004740@2001-02-10 17:56:00+01, 0102000020A41E000002000000BCBA100CCC435D4044CD3A551A413640F192C71B68FC5B40F58888ACF7363E40@2001-02-10 17:57:00+01, 0102000020A41E000002000000BCBA100CCC435D4044CD3A551A413640F192C71B68FC5B40F58888ACF7363E40@2001-02-10 17:58:00+01), (0101000020A41E0000AD423011D55061C0D0927F25E58E4A40@2001-02-10 18:04:00+01, 0102000020A41E000002000000B02896AD4B6F6340DC370E9190F1554036ED493C677E6240860B8E9717595440@2001-02-10 18:14:00+01, 0104000020A41E0000020000000101000000A8770668935F5340F64DDA4C7514544001010000000E126832271751407BDD6805372A5440@2001-02-10 18:22:00+01, 0101000020A41E0000005D284314C35140DF3C32B6233745C0@2001-02-10 18:27:00+01, 0101000020A41E0000005D284314C35140DF3C32B6233745C0@2001-02-10 18:37:00+01)}"
77,"{[0101000020A41E0000A0904F68B39B1140F4873FF87E204CC0@2001-12-03 07:04:00+01, 0102000020A41E0000020000005E9CDE7DC3716040F29E2B37CFB448C0E2E08B5AD2515F403E65DF32B74B4DC0@2001-12-03 07:05:00+01, 0104000020A41E00000200000001010000001CBDA6076B8A45C0352B38C580D54CC001010000008E253BB5D7264AC0FF692740D4EB4DC0@2001-12-03 07:11:00+01, 0101000020A41E0000278547E21B1452C03CCD01BE707F4840@2001-12-03 07:13:00+01, 0102000020A41E000002000000E4220D3E68004D40B40CA6DD17583DC062037E7F33DA4940609438E6287F3CC0@2001-12-03 07:21:00+01, 0102000020A41E000002000000E4220D3E68004D40B40CA6DD17583DC062037E7F33DA4940609438E6287F3CC0@2001-12-03 07:25:00+01), (0101000020A41E00008870A57A06C962C0DC5AA11C91375340@2001-12-03 07:35:00+01, 0102000020A41E000002000000A4F20F16B4E15AC01865307ACDDB42C0D3EDECC6D38E59C0C9B53782A39541C0@2001-12-03 07:36:00+01, 0104000020A41E00000200000001010000001C5FDD3429045EC060FECAAF6E4F4B4001010000004A6D09E492CC5EC01820BF34467B4F40@2001-12-03 07:46:00+01, 0101000020A41E00008D428F11BBB65DC08C487627F4213240@2001-12-03 07:49:00+01, 0102000020A41E000002000000543996716D58584004C8664FF7EF37409544B35654605840719F102E6AB13540@2001-12-03 07:53:00+01, 0104000020A41E00000200000001010000008075E56720EE59403D1541EF868650C00101000000963236D3DB235940786483155BCF50C0@2001-12-03 08:00:00+01, 0101000020A41E0000865FACAE0BC06140A0F7623650A421C0@2001-12-03 08:09:00+01, 0102000020A41E000002000000704AAD2E136B4D4042E796855E3655C0BBFC89EA2F614C402507745CAFF753C0@2001-12-03 08:13:00+01], [0101000020A41E000037582B3D123161C010EBBD2A26764540@2001-12-03 08:18:00+01, 0102000020A41E000002000000598F10EE705E5AC0684C3A444FF72640E776CF3E47175AC0549828645A953340@2001-12-03 08:21:00+01, 0104000020A41E0000020000000101000000F8B69360EB7A5540AA5FEA94581046C00101000000197DFEF5B7A15440EB1009835ABA48C0@2001-12-03 08:31:00+01, 0101000020A41E00001D4E4B980C7066C0DB6D81FBE4B954C0@2001-12-03 08:32:00+01, 0102000020A41E000002000000C0081D848B4E0A4058544E19491529C038D4DDA15996F83F84314A87000315C0@2001-12-03 08:36:00+01, 0104000020A41E0000020000000101000000F035E552B6185640A0BC25E1B67750400101000000438BBB9189BF554028FC49427BFA5040@2001-12-03 08:43:00+01, 0101000020A41E00000EB1AD62A6505140CC5DDA57427935C0@2001-12-03 08:50:00+01, 0102000020A41E000002000000B07755F0FC963940A835E0A4FA7F2E400488975C804F3840766A0A538F4D1E40@2001-12-03 08:54:00+01, 0104000020A41E0000020000000101000000408DA0C799DF6540DC5EB118994132C00101000000EF3D65F377B664409BEC8E4D4DEB39C0@2001-12-03 09:00:00+01, 0104000020A41E0000020000000101000000408DA0C799DF6540DC5EB118994132C00101000000EF3D65F377B664409BEC8E4D4DEB39C0@2001-12-03 09:07:00+01), (0101000020A41E0000BA491C48E859644030ED98415C0E4E40@2001-12-03 09:09:00+01, 0102000020A41E00000200000010DB269EF16C23401C70154F00AE4840E0C5C971F9CED73F6F3641CED23F4A40@2001-12-03 09:16:00+01, 0104000020A41E0000020000000101000000A4259078421B4E400049364A35A9EF3F010100000035F8F446ABB64A40A04D17F089901E40@2001-12-03 09:20:00+01, 0101000020A41E000018105094863659404C060BBB68B74140@2001-12-03 09:29:00+01, 0102000020A41E000002000000E8641E049AC8514000CCE718E93C0BC09D40A71F7FB7534003D654400B7121C0@2001-12-03 09:32:00+01, 0104000020A41E000002000000010100000031B9E457E80556C0AAECC12657195540010100000074BF1FB2E3D556C0817EE77CBCF95240@2001-12-03 09:37:00+01, 0101000020A41E0000201FF90F2E8A21407C140AF93E9745C0@2001-12-03 09:38:00+01, 0101000020A41E0000201FF90F2E8A21407C140AF93E9745C0@2001-12-03 09:47:00+01), (0101000020A41E00008815D858CE165DC058BC96EA954740C0@2001-12-03 09:49:00+01, 0102000020A41E000002000000A80507622EBB38C070C75E71A0B618406FAB5671E40640C0643774DBA96A1C40@2001-12-03 09:57:00+01, 0104000020A41E00000200000001010000004EA3CB685C086140100C9017782319400101000000BA493CCD1A1362406862EBB51D5B1540@2001-12-03 10:03:00+01, 0101000020A41E000029BC6F07730F58C010D66370A3AE2240@2001-12-03 10:07:00+01, 0102000020A41E000002000000406BE1CBCA033CC0FCF50F43AD5053C00C5FACBA9D9640C03285A5DB43FA50C0@2001-12-03 10:11:00+01, 0104000020A41E0000020000000101000000B89C8CD6A1145140486534693FF93AC001010000000E77D59CC39A5040624886910C3E39C0@2001-12-03 10:20:00+01, 0101000020A41E0000A40C82CC1383524022D5F6EB239C50C0@2001-12-03 10:30:00+01, 0102000020A41E000002000000ECA78F6C4B934740C2392C0CAB4256400428ED305FB84740ADC02190D06F5540@2001-12-03 10:35:00+01, 0104000020A41E000002000000010100000050CC9053C6C6314028CB750F320C2DC001010000001CD2870D2F2F25403D171086DAD834C0@2001-12-03 10:38:00+01, 0104000020A41E000002000000010100000050CC9053C6C6314028CB750F320C2DC001010000001CD2870D2F2F25403D171086DAD834C0@2001-12-03 10:45:00+01), (0101000020A41E0000443D1087CA7E5FC05873F0CEE60A2340@2001-12-03 10:50:00+01, 0102000020A41E0000020000006F10F005900764C0D0B9DF9B258527404D1CC09B701063C0C90AC59F69682C40@2001-12-03 10:54:00+01], (0101000020A41E00003EB3ABC012A951C04A76B1658B5B55C0@2001-12-03 10:55:00+01, 0102000020A41E0000020000007CEAF3C2FF295BC0A456F7E273124D406D4B0BBC97375DC0304694E8083D5040@2001-12-03 11:02:00+01, 0104000020A41E000002000000010100000040012EBEE0DD654060790E16395F50400101000000508256C3FF68664092081B11C0625140@2001-12-03 11:08:00+01, 0101000020A41E00003D0FD1FF71AF52C07CD224335B5D52C0@2001-12-03 11:10:00+01, 0102000020A41E000002000000A298D22B900E4CC0A8D2F9872B8724C0BFF68BD93DC44BC0E18A7B87486629C0@2001-12-03 11:20:00+01, 0104000020A41E0000020000000101000000D82E690BA8E662402E4AE00B8FC2414001010000009745487C9382634051AEC91E99924240@2001-12-03 11:25:00+01, 0101000020A41E00007C56471F66745FC0100BCFA79B8C1040@2001-12-03 11:34:00+01, 0102000020A41E000002000000D08C42C3CF5A23C0A8BCC2AA2571544039505E2F454F28C0209D8EA3F22E5640@2001-12-03 11:38:00+01, 0104000020A41E0000020000000101000000807449400AF45BC008DE346D044A52400101000000432194053B9F5BC017DF59214BDB5040@2001-12-03 11:43:00+01, 0101000020A41E0000E10CBDD6E36B56C0A48A9025DE364D40@2001-12-03 11:49:00+01], (0101000020A41E0000881623B738D46040702D1B4B82A92D40@2001-12-03 11:53:00+01, 0102000020A41E000002000000F466A93EAE704EC05B283B829DBC49C04EA8D2ABC2724BC0E97ACD8BF4544DC0@2001-12-03 12:01:00+01, 0104000020A41E000002000000010100000093F9D9256E8154C0C0BFEFCFA1A601C00101000000A5CCC3F313BC53C018A08CB921290B40@2001-12-03 12:06:00+01, 0101000020A41E00004A95A3402F616340EC28A30829284640@2001-12-03 12:12:00+01, 0102000020A41E000002000000F0288A45CA1962C07CE801E04C8A53406D3E3C5AD72862C06F9B6A91FE7A5340@2001-12-03 12:17:00+01, 0104000020A41E0000020000000101000000A0A8F77744865B4015C238D375A94BC001010000001D4CC8E9D6F75C4066FA90D3109649C0@2001-12-03 12:18:00+01, 0101000020A41E00002854C0A9427140405D541DC481E249C0@2001-12-03 12:20:00+01, 0102000020A41E000002000000FF28225C0CA75CC0AE0D22E27C885240D4CBAF40C8555CC030071CCAB8E65240@2001-12-03 12:29:00+01]}"
78,"{[0101000020A41E0000681765BA3B3664C050E0A92B92F71140@2001-06-23 20:34:00+02, 0102000020A41E00000200000014EAB54F8B8341C0C0C2B299F0CC5040B6499CBAC9CE3AC02E409B7FD9125140@2001-06-23 20:44:00+02, 0104000020A41E0000020000000101000000F4D4468B6E3B65401480FF2928CF414001010000006A4F60C0835D64404EF49EBC034F4240@2001-06-23 20:54:00+02, 0101000020A41E000008639131A9EA3340806680807471E13F@2001-06-23 20:58:00+02, 0102000020A41E0000020000007638E6B463866440FE95E4D190AD5340EF03217ADCB96540F255D36B7AEF5440@2001-06-23 20:59:00+02, 0104000020A41E0000020000000101000000A0534633B95C55C0FCA90757D07855400101000000D30B2418466856C027662BDA22AF5540@2001-06-23 21:00:00+02, 0101000020A41E0000F01F2CA50A9F64402AD3458DFE805340@2001-06-23 21:07:00+02], [0101000020A41E000000543AF900DEDCBFC641558B012E5540@2001-06-23 21:16:00+02, 0101000020A41E000000543AF900DEDCBFC641558B012E5540@2001-06-23 21:20:00+02), [0101000020A41E00001C83AA52556C4EC0C8D0E56C37172040@2001-06-23 21:29:00+02], (0101000020A41E0000B196CF17DD5960C0A8AE0D0843E63E40@2001-06-23 21:36:00+02, 0101000020A41E0000B196CF17DD5960C0A8AE0D0843E63E40@2001-06-23 21:45:00+02), (0101000020A41E0000989AE8D5020446C0588F397F315A33C0@2001-06-23 21:51:00+02, 0102000020A41E000002000000EC67D18AAB6151C06089AB88BB19444093D4FF303E424FC0332E417E64974840@2001-06-23 21:55:00+02, 0104000020A41E00000200000001010000004CBA534D7AF26040086C1598659F55C001010000006E298FC963CC6140BA845C29048A54C0@2001-06-23 21:59:00+02, 0101000020A41E000060A7A448386C63C03AE9D3DC03395240@2001-06-23 22:07:00+02, 0102000020A41E00000200000028F3ADC358DD60C0C69713C2C71F4240C180A77A12C35FC0262FC73C4E2E4140@2001-06-23 22:12:00+02, 0104000020A41E000002000000010100000048DC1BA5246C664058D26A19D3193CC00101000000F8A3C1DEFE096640347C401C569238C0@2001-06-23 22:18:00+02, 0101000020A41E00004CA167C1961B5FC04E612432771A44C0@2001-06-23 22:25:00+02], [0101000020A41E000014670DBF3D525540A03B62CA4F3254C0@2001-06-23 22:30:00+02, 0102000020A41E00000200000018F3B1ED853A5CC0E0E0AB97DE1236C03A99493FA87C5AC09A5B200B43612BC0@2001-06-23 22:39:00+02, 0104000020A41E000002000000010100000038FAD9C529864B4050F7EF5E2E0823C00101000000EC3E8A08A8664D405BB6BC032A7931C0@2001-06-23 22:40:00+02, 0101000020A41E0000FC7CF74CC9DB4CC0B8162E1D5EC44540@2001-06-23 22:44:00+02, 0102000020A41E000002000000F457D9C195B86240A0B8C94D1D021FC0B9F3F2B0CDAC6240F6A13E5238991DC0@2001-06-23 22:51:00+02, 0104000020A41E0000020000000101000000FC6793F37E1564C0426E78C3D26341400101000000CAC90A88D00363C0229542A6FECA3A40@2001-06-23 22:58:00+02, 0101000020A41E0000A62A31A6562A5040306059D2433C41C0@2001-06-23 22:59:00+02], [0101000020A41E0000F2AE29871E3C60C08659A947DA0C5340@2001-06-23 23:09:00+02]}"
